"condition","plot_id","thermal.time","DAS","phenotype_value"
"Optimum",3072,1101,78,47.10819139
"Optimum",3071,1101,78,45.74297129
"Optimum",6050,1101,78,47.67133841
"Optimum",6049,1101,78,41.6913899
"Optimum",6048,1101,78,52.68110963
"Optimum",6047,1101,78,45.77861598
"Optimum",6046,1101,78,50.18104716
"Optimum",6045,1101,78,47.35376566
"Optimum",6044,1101,78,47.24597202
"Optimum",6043,1101,78,46.33603306
"Optimum",6042,1101,78,44.19585855
"Optimum",6041,1101,78,48.27721959
"Optimum",3061,1101,78,50.00114545
"Optimum",3062,1101,78,43.2306551
"Optimum",3063,1101,78,45.62251079
"Optimum",3064,1101,78,45.54040568
"Optimum",3065,1101,78,45.0422178
"Optimum",3066,1101,78,47.76300407
"Optimum",3067,1101,78,48.42339754
"Optimum",3068,1101,78,48.43124114
"Optimum",3069,1101,78,47.18070652
"Optimum",3070,1101,78,47.60646474
"Optimum",6051,1101,78,48.56990312
"Optimum",6052,1101,78,42.32538917
"Optimum",6053,1101,78,46.69965711
"Optimum",6054,1101,78,43.15114005
"Optimum",6055,1101,78,46.59967885
"Optimum",6056,1101,78,47.06681219
"Optimum",6057,1101,78,56.81101372
"Optimum",6058,1101,78,53.23234798
"Optimum",6059,1101,78,53.37100282
"Optimum",6060,1101,78,52.46980481
"Optimum",3060,1101,78,51.21378189
"Optimum",3059,1101,78,43.7622345
"Optimum",3058,1101,78,45.46557617
"Optimum",3057,1101,78,48.78455727
"Optimum",3056,1101,78,45.32174838
"Optimum",3055,1101,78,47.90218218
"Optimum",3054,1101,78,45.3165713
"Optimum",3053,1101,78,48.23241731
"Optimum",3052,1101,78,44.69606861
"Optimum",3051,1101,78,44.14872383
"Optimum",6070,1101,78,53.93496241
"Optimum",6069,1101,78,57.89275963
"Optimum",6068,1101,78,50.8120761
"Optimum",6067,1101,78,52.74615624
"Optimum",6066,1101,78,50.90614695
"Optimum",6065,1101,78,47.2920554
"Optimum",6064,1101,78,47.88042948
"Optimum",6063,1101,78,44.97724475
"Optimum",6062,1101,78,50.31319007
"Optimum",6061,1101,78,45.23361952
"Optimum",3041,1101,78,42.82318651
"Optimum",3042,1101,78,42.19330969
"Optimum",3043,1101,78,43.31808135
"Optimum",3044,1101,78,45.58171934
"Optimum",3045,1101,78,55.55280239
"Optimum",3046,1101,78,41.63094115
"Optimum",3047,1101,78,42.43979573
"Optimum",3048,1101,78,43.24679992
"Optimum",3049,1101,78,45.26132174
"Optimum",3050,1101,78,48.85405783
"Optimum",6071,1101,78,49.49320152
"Optimum",6072,1101,78,52.56731282
"Optimum",6073,1101,78,45.24890733
"Optimum",6074,1101,78,44.23273409
"Optimum",6075,1101,78,42.75652134
"Optimum",6076,1101,78,45.88674032
"Optimum",6077,1101,78,39.77474924
"Optimum",6078,1101,78,43.77243929
"Optimum",6079,1101,78,49.25981619
"Optimum",6080,1101,78,45.27750981
"Optimum",3040,1101,78,46.22818502
"Optimum",3039,1101,78,41.7070135
"Optimum",3038,1101,78,42.85214625
"Optimum",3037,1101,78,44.49971862
"Optimum",3036,1101,78,50.34322162
"Optimum",3035,1101,78,51.15827049
"Optimum",3034,1101,78,47.80411645
"Optimum",3033,1101,78,51.30106928
"Optimum",3032,1101,78,45.07027637
"Optimum",3031,1101,78,52.1659369
"Optimum",6090,1101,78,53.12904335
"Optimum",6089,1101,78,49.30514306
"Optimum",6087,1101,78,46.14842228
"Optimum",6086,1101,78,50.40186264
"Optimum",6085,1101,78,43.67790683
"Optimum",6084,1101,78,52.81334844
"Optimum",6083,1101,78,40.66357625
"Optimum",6082,1101,78,51.10085227
"Optimum",6081,1101,78,51.60550877
"Optimum",3021,1101,78,47.63371835
"Optimum",3022,1101,78,45.00840999
"Optimum",3023,1101,78,46.33924504
